"filename", "language", "JavaScript", "Markdown", "TypeScript", "JSON", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\README.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 11, 30
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\eslint.config.mjs", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\notes.md", "Markdown", 0, 144, 0, 0, 0, 0, 0, 0, 0, 27, 171
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\package.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\postcss.config.mjs", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\rsbuild.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 19, 0, 20, 2, 41
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\AvatarUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 1, 10, 84
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 4, 47
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\DraggableLine.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 154, 0, 0, 15, 21, 190
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\DropdownMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 8, 4, 84
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\NumberShow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\ScrollableTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 130, 0, 0, 6, 14, 150
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\index.css", "CSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 1, 4, 28
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 2, 7, 89
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 4, 7, 112
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 8, 76
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\UserInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 8, 103
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\hooks\useUserData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Login\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 2, 7, 129
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Login\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 201, 0, 0, 8, 13, 222
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\AddRepos.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 8, 4, 93
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\CodeEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 8, 9, 105
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\EdiRepos.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 8, 8, 84
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\FileTree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 4, 7, 68
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\CommitList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 3, 6, 121
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\DiffView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 4, 55
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\GitState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 1, 9, 76
