"filename", "language", "JavaScript", "TypeScript", "JSON", "Markdown", "JSON with Comments", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 11, 30
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\biome.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\notes.md", "Markdown", 0, 0, 0, 144, 0, 0, 0, 0, 0, 27, 171
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\package.json", "JSON", 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\postcss.config.mjs", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\rsbuild.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\App.css", "CSS", 0, 0, 0, 0, 0, 19, 0, 0, 20, 2, 41
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 8, 4, 52
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\AvatarUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 1, 10, 85
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 4, 47
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\DraggableLine.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 15, 21, 192
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\DropdownMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 8, 4, 85
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\NumberShow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\ScrollableTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 6, 14, 147
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\index.css", "CSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\index.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 0, 2, 4, 24
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
