"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\README.md", "Markdown", 0, 0, 0, 0, -19, 0, 0, -11, -30
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\biome.json", "JSON", 0, 0, 0, -30, 0, 0, 0, -1, -31
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, -3, -3, -6
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\notes.md", "Markdown", 0, 0, 0, 0, -144, 0, 0, -27, -171
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\package.json", "JSON", 0, 0, 0, -47, 0, 0, 0, -1, -48
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\postcss.config.mjs", "JavaScript", 0, 0, -5, 0, 0, 0, 0, -1, -6
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\rsbuild.config.ts", "TypeScript", -5, 0, 0, 0, 0, 0, 0, -2, -7
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\App.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, -8, 1, -5
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\DropdownMenu.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, -1, 0, -2
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Header.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Home.tsx", "TypeScript JSX", 0, -16, 0, 0, 0, 0, -3, -1, -20
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\UserInfo.tsx", "TypeScript JSX", 0, 132, 0, 0, 0, 0, 2, 5, 139
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\hooks\useUserData.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Login\Login.tsx", "TypeScript JSX", 0, -7, 0, 0, 0, 0, 5, -1, -3
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Login\Register.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Login\bg.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\CodeEditor.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 0, 17, 8, 98
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\FileTree.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 2, 7, 24
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\CommitList.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 0, 11, 10, 107
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\DiffView.tsx", "TypeScript JSX", 0, -6, 0, 0, 0, 0, 0, -1, -7
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\GitState.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\ReposList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\hooks\useRepoData.ts", "TypeScript", -55, 0, 0, 0, 0, 0, 43, 0, -12
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\route\PretectedRoute.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 1, 3, 36
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\api.ts", "TypeScript", -107, 0, 0, 0, 0, 0, 3, 10, -94
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\store.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\tool.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\websocket.ts", "TypeScript", -1, 0, 0, 0, 0, 0, -3, 0, -4
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, -22, -2, -3, -27
"Total", "-", -152, 389, -5, -77, -163, -22, 65, 10, 45
