"filename", "language", "PostCSS", "TypeScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\App.css", "PostCSS", 19, 0, 0, 0, 20, 2, 41
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\App.tsx", "TypeScript JSX", 0, 0, 42, 0, 0, 5, 47
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\AvatarUpload.tsx", "TypeScript JSX", 0, 0, 74, 0, 1, 10, 85
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\Card.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 4, 47
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\DraggableLine.tsx", "TypeScript JSX", 0, 0, 156, 0, 15, 21, 192
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\DropdownMenu.tsx", "TypeScript JSX", 0, 0, 72, 0, 7, 4, 83
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\NumberShow.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 3, 26
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\ScrollableTable.tsx", "TypeScript JSX", 0, 0, 127, 0, 6, 14, 147
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\component\index.css", "PostCSS", 19, 0, 0, 0, 0, 1, 20
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\index.css", "PostCSS", 18, 0, 0, 0, 2, 4, 24
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\index.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 2, 14
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Dashboard.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 4, 26
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Footer.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 4, 18
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Header.tsx", "TypeScript JSX", 0, 0, 82, 0, 2, 7, 91
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Home.tsx", "TypeScript JSX", 0, 0, 150, 0, 6, 11, 167
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\Sidebar.tsx", "TypeScript JSX", 0, 0, 68, 0, 0, 8, 76
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Dashboard\UserInfo.tsx", "TypeScript JSX", 0, 0, 220, 0, 2, 12, 234
